"    ""Product Ref""",category,warehouse,zoon,floor,Product Name,Product Description,width,height,length,Selling Price,Currency
HK800,Parts,3,,,HYDROKEY 033 800GPD,HYDROKEY 033 800GPD,,,,0,248
ACF,Parts,3,,,ACF INLINE FILTER FOR RO-800A ,ACF INLINE FILTER FOR RO-800A ,,,,0,248
PR8A,Parts,3,,,PUMP FOR RO-800A,PUMP FOR RO-800A,,,,0,248
RO800GPD,Parts,3,,,RO-800 MEMBRANE FOR RO 800-A(COMPOSITED BY 2PCS OF 400 GPD MEMBRANE),RO-800 MEMBRANE FOR RO 800-A(COMPOSITED BY 2PCS OF 400 GPD MEMBRANE),,,,0,248
AW030-A,Parts,3,,,LOW PRESSURE SWITCH,LOW PRESSURE SWITCH,,,,0,248
AW031-A,Parts,3,,,HIGH PRESSURE VALVE QUICK FITTING,HIGH PRESSURE VALVE QUICK FITTING,,,,0,248
AW-SV1,Parts,3,,,SOLENOID VALVE INLET FOR RO-800A,SOLENOID VALVE INLET FOR RO-800A,,,,0,248
AW-SVA,Parts,3,,,SOLENOID VALVE FOR AUTO FLASH,SOLENOID VALVE FOR AUTO FLASH,,,,0,248
FAUCET-ST,Parts,3,,,FT-4 S.S,FT-4 S.S,,,,0,248
CCK-3,Parts,3,,,CCK TUBE 3/8,CCK TUBE 3/8,,,,0,248
CCK-1,Parts,3,,,CCK TUBE 1/4 1 CARTOON 600 METER,CCK TUBE 1/4 1 CARTOON 600 METER,,,,0,248
AW002-L,Parts,3,,,PLASTIC TDS MIXER,PLASTIC TDS MIXER,,,,0,248
AW026-A,Parts,3,,,STRAIGHT CHECK VALVE 1/4 TO 1/4,STRAIGHT CHECK VALVE 1/4 TO 1/4,,,,0,248
DPT-01,Parts,3,,,DIRECT PIPE LINE,DIRECT PIPE LINE,,,,0,248
MF-02,Parts,3,,,FEED WATER CONNECTER 3/8,FEED WATER CONNECTER 3/8,,,,0,248
MF-03,Parts,3,,,2PC FEED WATER CONNECTER 3/4,2PC FEED WATER CONNECTER 3/4,,,,0,248
AW002-A,Parts,3,,,BACK WASH VALVE 1/4 TO 1/4,BACK WASH VALVE 1/4 TO 1/4,,,,0,248
AW002-C,Parts,3,,,BACK WASH VALVE 1/4 TO 3/8,BACK WASH VALVE 1/4 TO 3/8,,,,0,248
AW003-A,Parts,3,,,T VALVE 1/4 TO 1/4 TO 1/4,T VALVE 1/4 TO 1/4 TO 1/4,,,,0,248
AW005-A,Parts,3,,,T PLUG INVALVE 1/4 TO 1/4 TO 1/4,T PLUG INVALVE 1/4 TO 1/4 TO 1/4,,,,0,248
AW009-A,Parts,3,,,L VALVE 1/4 TO 1/4,L VALVE 1/4 TO 1/4,,,,0,248
AW009-C,Parts,3,,,L VALVE 1/4 TO 3/8,L VALVE 1/4 TO 3/8,,,,0,248
AW013-A,Parts,3,,,L PLUG INVALVE 1/4 TO 1/4,L PLUG INVALVE 1/4 TO 1/4,,,,0,248
AW014-D,Parts,3,,,VALVE FROM 1/2 TO 1/4,VALVE FROM 1/2 TO 1/4,,,,0,248
AW014-C,Parts,3,,,VALVE FROM 1/2 TO 3/8,VALVE FROM 1/2 TO 3/8,,,,0,248
AW017-A,Parts,3,,,Y VALVE 1/4 TO 1/4 TO 1/4,Y VALVE 1/4 TO 1/4 TO 1/4,,,,0,248
AW018-A,Parts,3,,,STRAIGHT VALVE 1/4 TO 1/4,STRAIGHT VALVE 1/4 TO 1/4,,,,0,248
AW018-C,Parts,3,,,STRAIGHT VALVE 1/4 TO 3/8,STRAIGHT VALVE 1/4 TO 3/8,,,,0,248
AW016-A,Parts,3,,,IN OUT LINK MAIN BODY 1/4 TO 1/4,IN OUT LINK MAIN BODY 1/4 TO 1/4,,,,0,248
AW027-A,Parts,3,,,FLOW 300 1/4 TO 1/4,FLOW 300 1/4 TO 1/4,,,,0,248
AW066-A,Parts,3,,,FLOW 1500 1/4 TO 1/4,FLOW 1500 1/4 TO 1/4,,,,0,248
FWV-C,Parts,3,,,FEED WATER VALVE 1/4 TO 3/8,FEED WATER VALVE 1/4 TO 3/8,,,,0,248
AW-BOARD-800,Parts,3,,,SCREEN FOR RO-800A,SCREEN FOR RO-800A,,,,0,248
RK-SHOWER FILTER,Parts,3,,,RAINKEY SHOWER FILTER ,RAINKEY SHOWER FILTER ,,,,0,248
WK-AIR PURIFIER ,Parts,3,,,WINDKEY AIR PURIFIER ,WINDKEY AIR PURIFIER ,,,,0,248
CHK-01,Parts,3,,,FRONT COVER  FOR HYDROKEY 033,FRONT COVER  FOR HYDROKEY 033,,,,0,248
EP-A,Parts,3,,,ELBOW FOR PUMP 3/8 FEETING & THREAD,ELBOW FOR PUMP 3/8 FEETING & THREAD,,,,0,248
AD-01,Parts,3,,,800GPD PUMP ADAPTER FOR RO-800A,800GPD PUMP ADAPTER FOR RO-800A,,,,0,248
TDS-01,Parts,3,,,TDS METER,TDS METER,,,,0,248
CDY-01,Parts,3,,,CONDUCTIVITY TESTER,CONDUCTIVITY TESTER,,,,0,248
IRS-01,Parts,3,,,IRON STICKS ,IRON STICKS ,,,,0,248
ALS-01,Parts,3,,,ALUMINIUM STICKS,ALUMINIUM STICKS,,,,0,248
PCT,Parts,3,,,PIPE CUTTER,PIPE CUTTER,,,,0,248
HK-GLASS,Parts,3,,,HYDROKEY 033 GLASS BOTTLE ,HYDROKEY 033 GLASS BOTTLE ,,,,0,248
